w,freq,cat,lang,tr,alt
प्रणालीबाट,1594,NE,ne,pranalibata,
प्राइमटाइम,1594,NE,ne,primetime,
प्रोटोकल,1594,NE,ne,protokal,
फेडोरा,1594,NE,ne,fedora,
फैलियो,1594,NE,ne,failiyo,
बाँध्ने,1594,NE,ne,baandhne,bandhne
बाँसका,1594,NE,ne,baanska,
बाहिरबाट,1594,NE,ne,bahirbata,
ब्रेट,1594,NE,ne,brett,
भुजेल,1594,NE,ne,bhujel,
भूमिकालाई,1594,NE,ne,bhumikalai,
भ्रूण,1594,NE,ne,bhruna,
मर्न,1594,NE,ne,marna,
महन्थ,1594,NE,ne,mahantha,
येसको,1594,NE,ne,yesko,
रक्षाको,1594,NE,ne,rakshako,
रचेका,1594,NE,ne,racheka,
रामेश्वरम,1594,NE,ne,rameshwaram,
राष्ट्रलाई,1594,NE,ne,rashtralai,
रोनाल्डिन्हो,1594,NE,ne,ronaldinho,
रोलिन्सलाई,1594,NE,ne,rolinslai,
लक्ष्मीनिया,1594,NE,ne,lakshminia,
वंशमा,1594,NE,ne,wanshama,
वंशले,1594,NE,ne,wanshale,
शक्तिका,1594,NE,ne,shaktika,
सक्दैनन्,1594,NE,ne,sakdainan,
सङ्काय,1594,NE,ne,sankaya,
सञ्चालनका,1594,NE,ne,sanchalanka,
समाचारमा,1594,NE,ne,samacharma,
समूहहरूले,1594,NE,ne,samuhaharule,
सम्हाल्ने,1594,NE,ne,samhalne,
सहस्राब्दी,1594,NE,ne,sahasrabdi,
सहायकमन्त्री,1594,NE,ne,sahayakamantri,
साम्राज्यमा,1594,NE,ne,samrajyama,
सिम्रौनगढ,1594,NE,ne,simraungadha,
सिस्ने,1594,NE,ne,sisne,
सुत्केरी,1594,NE,ne,sutkeri,
स्कूलको,1594,NE,ne,schoolko,
स्विफ्टका,1594,NE,ne,swiftca,
हतियारहरू,1594,NE,ne,hatiyarharu,
हिमशृङ्खलाहरू,1594,NE,ne,himashringkhalaharu,
हुर्किएकी,1594,NE,ne,hurkieki,
हुर्केका,1594,NE,ne,hurkeka,
हेरिन्छ,1594,NE,ne,herinchha,
अगेन,1588,NE,ne,agena,
अञ्चलको,1588,NE,ne,anchalko,
अध्ययनहरूले,1588,NE,ne,adhyayanharule,
अपनाउन,1588,NE,ne,apanauna,
अप्रचलित,1588,NE,ne,aprachalit,
अवस्थाका,1588,NE,ne,awasthaka,
अष्ट्रेलियन,1588,NE,ne,ashtrelian,
अस्विकार,1588,NE,ne,aswikar,
अहिलेसम्मको,1588,NE,ne,ahilesammako,
इन्जिनियरहरू,1588,NE,ne,engineerharu,
इन्डोनेसियामा,1588,NE,ne,indonesiama,
उड्न,1588,NE,ne,udna,
उब्जाउ,1588,NE,ne,ubjau,
एकदलीय,1588,NE,ne,ekdaliya,
कम्प्युटरको,1588,NE,ne,computerko,
कर्मचारीलाई,1588,NE,ne,karmacharilai,
कसलाई,1588,NE,ne,kasalai,
कृतिको,1588,NE,ne,kritiko,
खोजको,1588,NE,ne,khojko,
गगनसिंह,1588,NE,ne,gagansinh,
गोविन्दबहादुर,1588,NE,ne,govindabahadur,
गौतमले,1588,NE,ne,gautamle,
ग्रिल्स,1588,NE,ne,grylls,
चितवनको,1588,NE,ne,chitawanko,
छोराले,1588,NE,ne,chhorale,
जनघनत्वको,1588,NE,ne,janaghanatwako,
जन्मभूमि,1588,NE,ne,janmabhumi,
जुटाउन,1588,NE,ne,jutauna,
जोर्नी,1588,NE,ne,jorni,
टर्कीका,1588,NE,ne,turkeyka,
डग,1588,NE,ne,dogg,
तीब्र,1588,NE,ne,tibra,
तीव्रता,1588,NE,ne,tiwrata,
दर्जाको,1588,NE,ne,darjako,
दलहरूले,1588,NE,ne,dalharule,
दशरथचन्द,1588,NE,ne,dasharathchand,
दशौं,1588,NE,ne,dashaun,
देशभित्र,1588,NE,ne,deshbhitra,
धवलागिरि,1588,NE,ne,dhawalagiri,
नगरेसम्म,1588,NE,ne,nagaresamma,
नासो,1588,NE,ne,naso,
निकायले,1588,NE,ne,nikayale,
निभाएकी,1588,NE,ne,nibhaeki,
नुनिलो,1588,NE,ne,nunilo,
नृत्यमा,1588,NE,ne,nrityama,
पहिलेदेखि,1588,NE,ne,pahiledekhi,
पाणिनी,1588,NE,ne,panini,
पृष्ठका,1588,NE,ne,prishthaka,
प्रदेशलाई,1588,NE,ne,pradeshlai,
प्रधानमन्त्रीका,1588,NE,ne,pradhanmantrika,
फिफाको,1588,NE,ne,fifako,
बतायो,1588,NE,ne,batayo,
बाँडिएको,1588,NE,ne,baandieko,
बिरामीलाई,1588,NE,ne,biramilai,
बेइलीले,1588,NE,ne,beilile,
ब्लिथ,1588,NE,ne,blyth,
भीमराव,1588,NE,ne,bhimrao,
भुमिकामा,1588,NE,ne,bhumikama,
भूखण्ड,1588,NE,ne,bhukhanda,
महाकाव्यलाई,1588,NE,ne,mahakawyalai,
माओवादीले,1588,NE,ne,maowadile,
मार्गहरू,1588,NE,ne,margharu,
मिजो,1588,NE,ne,mizo,
मुलुकका,1588,NE,ne,mulukaka,
मेमा,1588,NE,ne,mema,
म्याक्सिम,1588,NE,ne,maxim,
राख्नुहोला,1588,NE,ne,rakhnuhola,
राजस्थानमा,1588,NE,ne,rajasthanma,
रेखामा,1588,NE,ne,rekhama,
रोक्नको,1588,NE,ne,roknako,
लघुवित्त,1588,NE,ne,laghuwitta,
लिङ्ग्वा,1588,NE,ne,lingwa,
वितरक,1588,NE,ne,witarak,
विद्यालयहरूमा,1588,NE,ne,vidyalayaharuma,
वेस्टमिन्स्टर,1588,NE,ne,westminster,
शब्दावलीहरू,1588,NE,ne,shabdawaliharu,
श्रमको,1588,NE,ne,shramko,
श्वेता,1588,NE,ne,shweta,
संहिताको,1588,NE,ne,sanhitako,
सम्बन्धन,1588,NE,ne,sambandhan,
सम्बन्धहरू,1588,NE,ne,sambandhaharu,
सरेर,1588,NE,ne,sarera,
साझेदारीको,1588,NE,ne,sajhedariko,
सुविधाहरूको,1588,NE,ne,suwidhaharuko,
स्वारेज,1588,NE,ne,schwarez,
स्विडेनका,1588,NE,ne,swidenka,
हनुमानलाई,1588,NE,ne,hanumanlai,
अभावका,1582,NE,ne,abhawaka,
अभियानलाई,1582,NE,ne,abhianlai,
अर्थव्यवस्थाको,1582,NE,ne,arthawyawasthako,
अवसरहरू,1582,NE,ne,awasarharu,
इमिरेट्सका,1582,NE,ne,imiretska,
उत्सवको,1582,NE,ne,utsabko,
उभिएर,1582,NE,ne,ubhiera,
एल्बममा,1582,NE,ne,albumma,
कार्बोहाइड्रेट,1582,NE,ne,carbohydrate,
कार्यले,1582,NE,ne,karyale,
किट्स,1582,NE,ne,kitts,
कुमारको,1582,NE,ne,kumarko,
केरुङ,1582,NE,ne,kerung,
कोलकातामा,1582,NE,ne,kolkatama,
क्यास,1582,NE,ne,kyas,
क्युरी,1582,NE,ne,curie,
खेल्दा,1582,NE,ne,khelda,
गद्दीमा,1582,NE,ne,gaddima,
गरेसँगै,1582,NE,ne,garesangai,
गहनाहरू,1582,NE,ne,gahanaharu,
गोलकर्ताहरू,1582,NE,ne,golkartaharu,
ग्रिनल्यान्ड,1582,NE,ne,greenland,
ग्लासगो,1582,NE,ne,glasgo,
घाउँके,1582,NE,ne,ghaaunke,
चक्रपथ,1582,NE,ne,chakrapath,
चट्टग्राम,1582,NE,ne,chattagram,
चरणहरूमा,1582,NE,ne,charanharuma,
छत्र,1582,NE,ne,chatra,
छोएको,1582,NE,ne,chhoeko,
जङ्गलको,1582,NE,ne,jungleko,
जित्दा,1582,NE,ne,jitda,
जीवनबाट,1582,NE,ne,jiwanbata,
ठाउमा,1582,NE,ne,thauma,
देवताहरूका,1582,NE,ne,dewataharuka,
नगर्नुहोस्,1582,NE,ne,nagarnuhos,
नगेन्द्रप्रसाद,1582,NE,ne,nagendraprasad,
पठाएर,1582,NE,ne,pathaera,
पहिल्यै,1582,NE,ne,pahilyai,
पात्रोको,1582,NE,ne,patroko,
पासवर्ड,1582,NE,ne,password,
पुस्तकका,1582,NE,ne,pustakka,
पुस्तकले,1582,NE,ne,pustakle,
पूर्वदेखि,1582,NE,ne,purvadekhi,
पोलेको,1582,NE,ne,poleko,
प्राणीहरू,1582,NE,ne,praniharu,
प्राध्यापन,1582,NE,ne,pradhyapan,
फिलिपिनो,1582,NE,ne,philipino,filipino
बन्दछ,1582,NE,ne,bandachha,
बाँधिएको,1582,NE,ne,baandhieko,bandhieko
बुढीगङ्गा,1582,NE,ne,budhiganga,
बुधवार,1582,NE,ne,budhwar,
भन्नेमा,1582,NE,ne,bhannema,
भर्न,1582,NE,ne,bharna,
भाँडा,1582,NE,ne,bhanda,bhaanda
भाइको,1582,NE,ne,bhaiko,
भाषाहरूलाई,1582,NE,ne,bhashaharulai,
मनुष्यको,1582,NE,ne,manushyako,
मांसाहारी,1582,NE,ne,mansahari,
मानवशास्त्र,1582,NE,ne,manawashastra,
मान्छेहरू,1582,NE,ne,manchheharu,mancheharu
मिल्दो,1582,NE,ne,mildo,
मुजिबले,1582,NE,ne,mujible,
मेटल,1582,NE,ne,mettle,
यमराज,1582,NE,ne,yamraj,
यात्राका,1582,NE,ne,yatraka,
युनिभर्सका,1582,NE,ne,universeka,
योग्यताहरू,1582,NE,ne,yogyataharu,
रचनामा,1582,NE,ne,rachanama,
राजदेवी,1582,NE,ne,rajdevi,
रानीपोखरी,1582,NE,ne,ranipokhari,
रेकर्ड्सका,1582,NE,ne,recordska,
रोगलाई,1582,NE,ne,roglai,
लिंकहरू,1582,NE,ne,linkharu,
लिली,1582,NE,ne,lilley,
लुइटेल,1582,NE,ne,luitel,
वसोवास,1582,NE,ne,vasovas,
वारिद,1582,NE,ne,warid,
विश्रामपुर,1582,NE,ne,vishrampur,
शत्रुघ्न,1582,NE,ne,shatrughna,shatrughan
शास्त्रहरूमा,1582,NE,ne,shastraharuma,
शाहीले,1582,NE,ne,shahile,
शेरधन,1582,NE,ne,sherdhan,
संघमा,1582,NE,ne,sanghama,
सत्तारुढ,1582,NE,ne,sattarudha,
समयावधि,1582,NE,ne,samayawadhi,
समलिङ्गी,1582,NE,ne,samalingi,
समितिद्वारा,1582,NE,ne,samitidwara,
सर्बियाली,1582,NE,ne,serbiali,
साथीहरूले,1582,NE,ne,sathiharule,
सुरुवातको,1582,NE,ne,suruwatko,
हिन्दूहरूको,1582,NE,ne,hinduharuko,
हुँदैछ,1582,NE,ne,hundaichha,
हेमराज,1582,NE,ne,hemraj,
हेरेका,1582,NE,ne,hereka,
अन्त्यसम्म,1576,NE,ne,antyasamma,
अवधिलाई,1576,NE,ne,awadhilai,
इभान,1576,NE,ne,ibhan,
उपमन्त्री,1576,NE,ne,upamantri,
एचको,1576,NE,ne,echko,
एयरपोर्ट,1576,NE,ne,airport,
कार्यकालका,1576,NE,ne,karyakalka,
कीर्तिपुरको,1576,NE,ne,kirtipurko,
कोइरी,1576,NE,ne,koiri,
कोसेली,1576,NE,ne,koseli,
खाँदबारी,1576,NE,ne,khaandbari,
खान्छन्,1576,NE,ne,khanchhan,
गरेन,1576,NE,ne,garena,
गुठीको,1576,NE,ne,guthiko,
गोलरक्षकहरू,1576,NE,ne,golrakshakharu,
ग्यासरब्रम,1576,NE,ne,gasserbram,
घट्दो,1576,NE,ne,ghatdo,
घर्षण,1576,NE,ne,gharshan,
जङ्गी,1576,NE,ne,jungy,
जनयुद्धका,1576,NE,ne,janayuddhaka,
जनाइएको,1576,NE,ne,janaieko,
जात्राको,1576,NE,ne,jatrako,
जाहेर,1576,NE,ne,jahera,
जियाङ्सु,1576,NE,ne,jiangsu,
जोशीले,1576,NE,ne,joshile,
डन्ट,1576,NE,ne,dunt,
डेस्टिनीज,1576,NE,ne,destinies,
दिनुपर्छ,1576,NE,ne,dinuparchha,
दुलही,1576,NE,ne,dulahi,
देउसी,1576,NE,ne,deusi,
देवकोटाले,1576,NE,ne,devkotale,
देवीभागवत,1576,NE,ne,devibhagwat,
दोधारा,1576,NE,ne,dodhara,
धारापानी,1576,NE,ne,dharapani,
नर्तकहरू,1576,NE,ne,nartakharu,
नामाङ्कनहरूको,1576,NE,ne,namangkanharuko,
निर्णयहरू,1576,NE,ne,nirnayaharu,
पकाउन,1576,NE,ne,pakauna,
पखेटाको,1576,NE,ne,pakhetako,
पन्तले,1576,NE,ne,pantale,
परेड,1576,NE,ne,pared,
पृथ्वीबाट,1576,NE,ne,prithvibata,
पोर्चुगिज,1576,NE,ne,portugiz,
प्रवाहको,1576,NE,ne,prawahako,
फाइदाहरू,1576,NE,ne,faidaharu,
फिल्महरूमा,1576,NE,ne,filmharuma,
फैलिएर,1576,NE,ne,failiera,
भइसकेपछि,1576,NE,ne,bhaisakepachhi,
भनिन,1576,NE,ne,bhanin,
मतान्तरले,1576,NE,ne,matantarle,
मिलाउने,1576,NE,ne,milaune,
मोर्चामा,1576,NE,ne,morchama,
युधिष्ठिरले,1576,NE,ne,yudhishthirle,
योगदानकर्ताहरू,1576,NE,ne,yogadankartaharu,
यौनाङ्ग,1576,NE,ne,yaunanga,
रङ्गशालाहरू,1576,NE,ne,rangashalaharu,
राजाहरूलाई,1576,NE,ne,rajaharulai,
राष्ट्रसंघ,1576,NE,ne,rashtrasangha,
रेखाको,1576,NE,ne,rekhako,
लाखे,1576,NE,ne,lakhe,
वर्गकिलोमिटर,1576,NE,ne,worgkilometer,
वर्णहरू,1576,NE,ne,warnaharu,
विषयवस्तुको,1576,NE,ne,wishayawastuko,
शिक्षकहरू,1576,NE,ne,shikshakharu,
शीतकालीन,1576,NE,ne,shitkalin,
सत्रमा,1576,NE,ne,satrama,
सर्न,1576,NE,ne,sarna,
सामग्रीहरूलाई,1576,NE,ne,samagriharulai,
सारङ्गी,1576,NE,ne,sarangi,
सिंहका,1576,NE,ne,sinhaka,
सियालकोट,1576,NE,ne,sialkote,sialkot
सिसप,1576,NE,ne,sisap,
सुरुदेखि,1576,NE,ne,surudekhi,
स्वच्छता,1576,NE,ne,swachchhata,
हानेर,1576,NE,ne,hanera,
अधिकारहरूको,1570,NE,ne,adhikarharuko,
अधिकारीलाई,1570,NE,ne,adhikarilai,
अधुरो,1570,NE,ne,adhuro,
अभिनयमा,1570,NE,ne,abhinayma,
अर्जेन्टिनाले,1570,NE,ne,argentinele,
अलिक,1570,NE,ne,alik,
अवधारणाहरू,1570,NE,ne,awadharanaharu,
अवार्डमा,1570,NE,ne,awardma,
आम्बेडकरको,1570,NE,ne,ambedkarko,
आयोजनामा,1570,NE,ne,ayojanama,
आरम्भमा,1570,NE,ne,arambhama,
आर्द्रता,1570,NE,ne,ardrata,
उकालो,1570,NE,ne,ukalo,
उत्पादकत्व,1570,NE,ne,utpadakatwa,
उत्पादनहरूको,1570,NE,ne,utpadanharuko,
उपयोगमा,1570,NE,ne,upayogma,
उपाधिलाई,1570,NE,ne,upadhilai,
एडल्फ,1570,NE,ne,adulf,
कर्णबहादुर,1570,NE,ne,karnabahadur,
कर्मको,1570,NE,ne,karmako,
कसको,1570,NE,ne,kasko,
कारकहरू,1570,NE,ne,karakharu,
कार्यविधि,1570,NE,ne,karyawidhi,
कुमारीको,1570,NE,ne,kumariko,
खटिएका,1570,NE,ne,khatieka,
खेलाइएको,1570,NE,ne,khelaieko,
गर्भाशय,1570,NE,ne,garbhashaya,
गवर्नर,1570,NE,ne,gowernor,
गुणको,1570,NE,ne,gunko,
गोबर,1570,NE,ne,gobar,
गोल्डकपको,1570,NE,ne,goldakapko,
चेम्बर,1570,NE,ne,chember,
चोकमा,1570,NE,ne,chokma,
जमरा,1570,NE,ne,jamara,
जोशीको,1570,NE,ne,joshiko,
ड्वेन,1570,NE,ne,dwayne,
तापको,1570,NE,ne,tapko,
तृतीया,1570,NE,ne,tritiya,
त्रिवि,1570,NE,ne,trivi,
धाराहरू,1570,NE,ne,dharaharu,
धिमे,1570,NE,ne,dhime,
निकोला,1570,NE,ne,nikola,
नुसरत,1570,NE,ne,nushrat,nusrat
नेतामा,1570,NE,ne,netama,
पञ्चवर्षीय,1570,NE,ne,panchawarshiya,
परिषदका,1570,NE,ne,parishadka,
परिषदमा,1570,NE,ne,parishadma,
पर्यटकहरूलाई,1570,NE,ne,paryatakharulai,
पर्वका,1570,NE,ne,parvaka,
पाइँदैन,1570,NE,ne,paindaina,
पाल्पाको,1570,NE,ne,palpako,
पिटन,1570,NE,ne,peyton,pitton
पूँजीवाद,1570,NE,ne,punjiwad,
पूर्वप्रधानमन्त्री,1570,NE,ne,purwapradhanmantri,
पेसा,1570,NE,ne,pessa,
प्रतिशतको,1570,NE,ne,pratishatko,
प्रसारणको,1570,NE,ne,prasaranko,
फुकुवा,1570,NE,ne,fukuwa,
बज्र,1570,NE,ne,bajra,
बार्सिलोनाका,1570,NE,ne,barcilonaca,
ब्लिसले,1570,NE,ne,blisle,
भर्चुअल,1570,NE,ne,bharchual,
मंगोल,1570,NE,ne,mangol,
मद्दतले,1570,NE,ne,maddatle,
मध्यतिर,1570,NE,ne,madhyatira,
मनोनयनमा,1570,NE,ne,manonayanma,
मसलाको,1570,NE,ne,masalako,
महाद्वीप,1570,NE,ne,mahadweep,
महिनाहरूमा,1570,NE,ne,mahinaharuma,
मानपुर,1570,NE,ne,manpur,
मिश्रधातु,1570,NE,ne,mishradhatu,
मिसिएको,1570,NE,ne,misieko,
मीरपुर,1570,NE,ne,mirpur,
मुनामदन,1570,NE,ne,munamadan,
मूर्तिमा,1570,NE,ne,murtima,
मौरिटानिया,1570,NE,ne,mauritania,
यज्ञमा,1570,NE,ne,yagyama,
राख्यो,1570,NE,ne,rakhyo,
रामका,1570,NE,ne,ramka,
लिमिटेडले,1570,NE,ne,limitedle,
लेख्नुहोस्,1570,NE,ne,lekhnuhos,
विश्वस्त,1570,NE,ne,wishwasta,
शहरलाई,1570,NE,ne,shaharlai,
शासनलाई,1570,NE,ne,shasanlai,
शेषनाग,1570,NE,ne,sheshnag,
संख्याको,1570,NE,ne,sankhyako,
संरचनालाई,1570,NE,ne,sanrachanalai,
संस्थानहरू,1570,NE,ne,sansthanharu,
सकिदैन,1570,NE,ne,sakidaina,
सङ्क्रमणको,1570,NE,ne,sankramanko,
समुदायहरूमा,1570,NE,ne,samudayharuma,
सिक्स,1570,NE,ne,six,
सिद्धान्तहरूको,1570,NE,ne,siddhantaharuko,
सुनामगञ्ज,1570,NE,ne,sunamganj,
सुरेन्द्रराज,1570,NE,ne,surendraraj,
स्टर्लिङ,1570,NE,ne,sterling,
स्विजरल्याण्ड,1570,NE,ne,swizerland,
हनी,1570,NE,ne,honey,
हरूबाट,1570,NE,ne,harubata,
हिमालचुली,1570,NE,ne,himalchuli,
हुर्केकी,1570,NE,ne,hurkeki,
हृदयको,1570,NE,ne,hridayako,
अनुरोधहरू,1564,NE,ne,anurodhharu,
अपदस्थ,1564,NE,ne,apadastha,
अमेरिकाबाट,1564,NE,ne,americabata,
अवतारहरू,1564,NE,ne,awatarharu,
असन्तुष्ट,1564,NE,ne,asantushta,
आफनो,1564,NE,ne,afano,
आवेदनको,1564,NE,ne,awedanko,
इतिहासकारहरू,1564,NE,ne,itihaskarharu,
ऐतरेय,1564,NE,ne,aitareya,
औसतमा,1564,NE,ne,ausatma,
कम्मर,1564,NE,ne,kammar,
काङ्ग्रेसले,1564,NE,ne,congressle,
कृष्णपुर,1564,NE,ne,krishnapur,
क्षतिको,1564,NE,ne,kshatiko,
खरसाङ,1564,NE,ne,kharsang,
गठबन्धनले,1564,NE,ne,gathabandhanle,
गेडा,1564,NE,ne,geda,
गेहेन्द्र,1564,NE,ne,gehendra,
गोलमा,1564,NE,ne,golma,
गोलार्ध,1564,NE,ne,golardha,
गौशाला,1564,NE,ne,gaushala,
घटेर,1564,NE,ne,ghatera,
चाहनु,1564,NE,ne,chahanu,
छुचुन्द्रो,1564,NE,ne,chhuchundro,
छोराहरूलाई,1564,NE,ne,chhoraharulai,
जन्माष्टमी,1564,NE,ne,janamashtami,janmashtami
जुम्लाको,1564,NE,ne,jumlako,
ज्याला,1564,NE,ne,jyala,
झर्नु,1564,NE,ne,jharnu,
झेजियाङ,1564,NE,ne,zhejiang,jhejiang
टापुहरूको,1564,NE,ne,tapuharuko,
टुङ्गिएको,1564,NE,ne,tungieko,
डिसेम्बरका,1564,NE,ne,decemberka,
डोमिनिकन,1564,NE,ne,dominican,
ड्यानी,1564,NE,ne,dani,
तारिखका,1564,NE,ne,tarikhka,
दलमा,1564,NE,ne,dalma,
दूरसञ्चारको,1564,NE,ne,dursancharko,
द्वन्द्वमा,1564,NE,ne,dwandwama,
धुलेश्वर,1564,NE,ne,dhuleshwor,
नेपालीले,1564,NE,ne,nepalile,
पचाउन,1564,NE,ne,pachauna,
पटकसम्म,1564,NE,ne,pataksamma,
पटेर्वा,1564,NE,ne,paterwa,
पठाई,1564,NE,ne,pathai,
पत्रकारितामा,1564,NE,ne,patrakaritama,
परराष्ट्रमन्त्री,1564,NE,ne,pararashtramantri,
परिवेशमा,1564,NE,ne,pariweshamaa,pariweshma
पित्त,1564,NE,ne,pitta,
पूजामा,1564,NE,ne,pujama,
पूर्वबाट,1564,NE,ne,purvabata,
पृथु,1564,NE,ne,prithu,
पेन्टहाउस,1564,NE,ne,penthouse,
प्रतिपक्षी,1564,NE,ne,pratipakshi,
प्रतिस्पर्धीहरू,1564,NE,ne,pratispardhiharu,
प्रदेशहरूमा,1564,NE,ne,pradeshharuma,
प्रसौनी,1564,NE,ne,prasauni,
प्राणीहरूको,1564,NE,ne,praniharuko,
प्रायोजित,1564,NE,ne,prayojit,
बाङ्लादेशका,1564,NE,ne,bangladeshka,
बेङ्कको,1564,NE,ne,benkako,
बैंकले,1564,NE,ne,bankle,
ब्रेन्डन,1564,NE,ne,brendon,
भकुण्डो,1564,NE,ne,bhakundo,
भनिए,1564,NE,ne,bhanie,
भागेका,1564,NE,ne,bhageka,
भाष्य,1564,NE,ne,bhashya,
भोजनको,1564,NE,ne,bhojanko,
मन्त्रालयका,1564,NE,ne,mantralayaka,
मन्त्रीमण्डल,1564,NE,ne,mantrimandal,
मामिलाहरू,1564,NE,ne,mamilaharu,
मार्टिनेज,1564,NE,ne,martnez,
माल्दिभ्समा,1564,NE,ne,maldibhsama,
मुजिबको,1564,NE,ne,mujibko,
मेथी,1564,NE,ne,methi,
युद्धलाई,1564,NE,ne,yuddhalai,
रंगमा,1564,NE,ne,rangma,
रचियता,1564,NE,ne,rachiyata,
राजपरिवारका,1564,NE,ne,rajpariwarka,
राम्रै,1564,NE,ne,ramrai,
रेक्टर,1564,NE,ne,rector,
लगेको,1564,NE,ne,lageko,
लालमनिरहाट,1564,NE,ne,lalmanirhat,
विकासले,1564,NE,ne,vikasle,
वीरता,1564,NE,ne,virta,
वेदका,1564,NE,ne,vedka,
शतकहरू,1564,NE,ne,shatakharu,
शास्त्रहरू,1564,NE,ne,shastraharu,
संयन्त्रहरू,1564,NE,ne,sanyantraharu,
सखरखण्ड,1564,NE,ne,sakharkhand,
सङ्घर्षको,1564,NE,ne,sangharshako,
सदाशिव,1564,NE,ne,sadashiv,sadashiva
समझदारी,1564,NE,ne,samajhdari,
समाविष्ट,1564,NE,ne,samawishta,samaawishta
समितिलाई,1564,NE,ne,samitilai,
समुदायद्वारा,1564,NE,ne,samudayadwara,
समेट्ने,1564,NE,ne,sametne,
साइपाल,1564,NE,ne,saipal,
साम्राज्यवादी,1564,NE,ne,samrajyawadi,
सिकेका,1564,NE,ne,sikeka,
सीताले,1564,NE,ne,sitale,
सुधारिएको,1564,NE,ne,sudharieko,
सुनाइएको,1564,NE,ne,sunaieko,
सैनिकहरूको,1564,NE,ne,sainikharuko,
सोलिडारिटी,1564,NE,ne,solidarity,
स्थलहरूमा,1564,NE,ne,sthalharuma,
स्वरको,1564,NE,ne,swarko,
अग्रज,1558,NE,ne,agraj,
अञ्चलका,1558,NE,ne,anchalka,
अधिकारिक,1558,NE,ne,adhikarik,
अनुबन्ध,1558,NE,ne,anubandha,
अन्वेषक,1558,NE,ne,anweshak,
अर्कोतिर,1558,NE,ne,arkotira,
अलग्गै,1558,NE,ne,alaggai,
असन्तुष्टि,1558,NE,ne,asantushti,
आस्थाको,1558,NE,ne,asthako,
इन्धनको,1558,NE,ne,indhanko,
इस्मा,1558,NE,ne,isma,
उनीद्वारा,1558,NE,ne,unidwara,
उपनामले,1558,NE,ne,upanamle,
उम्मेद्वार,1558,NE,ne,ummedwar,
उर्जाको,1558,NE,ne,urjako,
ऊर्जालाई,1558,NE,ne,urjalai,
एकसदनात्मक,1558,NE,ne,eksadnatmak,
एम्स्टर्डम,1558,NE,ne,amsterdam,
कमर्स,1558,NE,ne,commers,
कागेश्वरी,1558,NE,ne,kageshwari,
कालखण्डमा,1558,NE,ne,kalkhandma,
कालिञ्चोक,1558,NE,ne,kalinchok,
किङ्सले,1558,NE,ne,kingsle,kingsley
किनमेल,1558,NE,ne,kinmail,
कृतिलाई,1558,NE,ne,kritilai,
क्रिस्टियन,1558,NE,ne,christiane,cristian
क्षमताका,1558,NE,ne,kshamataka,
गणतन्त्रका,1558,NE,ne,ganatantraka,
गर्नेको,1558,NE,ne,garneko,
गोविन्दपुर,1558,NE,ne,govindpur,govindapur
चट्टोपाध्याय,1558,NE,ne,chattopadhyay,chattopadhyaya
छुट्याएको,1558,NE,ne,chhutyaeko,
जन्मदिनको,1558,NE,ne,janmadinko,
जहाजहरू,1558,NE,ne,jahajharu,
जान्नु,1558,NE,ne,jannu,
जिबुती,1558,NE,ne,jibuti,
जियाङ,1558,NE,ne,jiang,
जिलिन,1558,NE,ne,zeelin,
जीवनभर,1558,NE,ne,jiwanbhar,
टिमलाई,1558,NE,ne,timlai,
त्रिपुरेश्वर,1558,NE,ne,tripureshwar,
थपिएका,1558,NE,ne,thapieka,
दिउँसोको,1558,NE,ne,diunsoko,
दिवसका,1558,NE,ne,diwaska,
दुरसञ्चार,1558,NE,ne,dursanchar,
दुर्गाको,1558,NE,ne,durgako,
देखाएर,1558,NE,ne,dekhaera,
देशान्तरमा,1558,NE,ne,deshantarma,
नकआउट्स,1558,NE,ne,nockouts,
नभन्नु,1558,NE,ne,nabhannu,
नसके,1558,NE,ne,nasake,
नागरिकहरूले,1558,NE,ne,nagarikharule,
पकाएको,1558,NE,ne,pakaeko,
पदासिन,1558,NE,ne,padasina,
परियोजनाले,1558,NE,ne,pariyojanale,
परिवर्तनले,1558,NE,ne,pariwartanle,
पाल्ने,1558,NE,ne,palne,
पुग्नु,1558,NE,ne,pugnu,
पुर्याएका,1558,NE,ne,puryaeka,
प्रदेशले,1558,NE,ne,pradeshle,
फिल्महरू,1558,NE,ne,filmharu,
ब्यानरमा,1558,NE,ne,bannerma,
ब्राह्मणहरू,1558,NE,ne,brahmanharu,
भक्तिको,1558,NE,ne,bhaktiko,
भाषीहरू,1558,NE,ne,bhashiharu,
भिमिओ,1558,NE,ne,bhimio,
भुटेको,1558,NE,ne,bhuteko,
मलङ्गवा,1558,NE,ne,malangawa,
महिनावारीको,1558,NE,ne,mahinawariko,
मानेभञ्ज्याङ,1558,NE,ne,manebhanjyang,
मिटरसम्म,1558,NE,ne,mittersamma,
मुख्यमन्त्रीमा,1558,NE,ne,mukhyamantrima,
मुन्धुम,1558,NE,ne,mundhum,
मृत्युका,1558,NE,ne,mrityuka,
युद्धविराम,1558,NE,ne,yuddhaviram,
लङ्गुरको,1558,NE,ne,langurko,
लालीगुराँस,1558,NE,ne,laliguransa,
लिपुलेक,1558,NE,ne,lipulek,
लियाम,1558,NE,ne,liam,
लेनिनवाद,1558,NE,ne,leninwad,
लोसार,1558,NE,ne,losar,
वर्गले,1558,NE,ne,wargale,
वर्षाका,1558,NE,ne,warshaka,
